Freq	Burst	Degree	Centrality	Sigma	PageRank	Keyword	Author	Year	Title	Source	Vol	Page	Half-life	DOI	ClusterID
2		0	0.00	1.00	0.00		GUILLAUME VUILLEMEY	2014	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		GIOVANNI CALICE	2012	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		XAVIER FREIXAS	2010	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		ELENA CARLETTI	2012	<html><b>...</b></html>	SO	0	0	1		
2		2	0.00	1.00	0.00		MATTEO MARSILI	2012	<html><b>...</b></html>	SO	0	0	0		
2		3	0.00	1.00	0.00		BARBARA CASU	2016	<html><b>...</b></html>	SO	0	0	0		
2		2	0.00	1.00	0.00		XIAOYAN XU	2010	<html><b>...</b></html>	SO	0	0	1		
2		2	0.00	1.00	0.00		YANHONG SUN	2010	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		MARTIN SALDIAS	2013	<html><b>...</b></html>	SO	0	0	0		
2		2	0.00	1.00	0.00		DIMITRIOS DIMITRIOU	2016	<html><b>...</b></html>	SO	0	0	1		
2		2	0.00	1.00	0.00		DAMIR FILIPOVIC	2016	<html><b>...</b></html>	SO	0	0	0		
2		3	0.00	1.00	0.00		AHMET SENSOY	2017	<html><b>...</b></html>	SO	0	0	0		
2		2	0.00	1.00	0.00		JEFFREY S JONES	2012	<html><b>...</b></html>	SO	0	0	1		
2		3	0.00	1.00	0.00		BOYANG SUN	2018	<html><b>...</b></html>	SO	0	0	0		
2		2	0.00	1.00	0.00		TIMOTHY J YEAGER	2012	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		ALIN MARIUS ANDRIES	2016	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		JEAN HELWEGE	2014	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		DINU BARNEA	2016	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		CUIXIA JIANG	2018	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		KEVIN KEASEY	2012	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		CHRISTIAN KOZIOL	2014	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		CHARLES LARKIN	2018	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		CHRISMIN TANG	2014	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		NELLIE LIANG	2013	<html><b>...</b></html>	SO	0	0	0		
2		1	0.00	1.00	0.00		AMINE LAHIANI	2015	<html><b>...</b></html>	SO	0	0	0		
2		1	0.00	1.00	0.00		MEJRA FESTIC	2010	<html><b>...</b></html>	SO	0	0	1		
2		0	0.00	1.00	0.00		CHUANZHE LIU	2018	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		T SABRI OENCUE	2013	<html><b>...</b></html>	SO	0	0	0		
2		1	0.00	1.00	0.00		ALVARO CHAMIZO	2019	<html><b>...</b></html>	SO	0	0	0		
2		0	0.00	1.00	0.00		JEANCYPRIEN HEAM	2015	<html><b>...</b></html>	SO	0	0	0		
2		2	0.00	1.00	0.00		E PHILIP DAVIS	2010	<html><b>...</b></html>	SO	0	0	1		
2		1	0.00	1.00	0.00		FRANKLIN ALLEN	2012	<html><b>...</b></html>	SO	0	0	1		
2		4	0.00	1.00	0.00		BRUCE GREENWALD	2012	<html><b>...</b></html>	SO	0	0	0		
