id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Citations>
334	"ashcraft, ab"	0.217	0.3072	3	142	247	8
369	"avdjiev, s"	-0.468	0.3948	4	94	126	4
376	"avesani, renzo"	-0.4826	-0.2645	1	99	190	5
380	"avkiran, nk"	-0.4648	-0.9925	9	81	118	3
387	"axtell, rl"	0.7126	0.4679	5	101	161	4
389	"aymanns, c"	0.8081	0.3528	5	151	256	7
391	"azizpour, s"	-0.6195	-0.2797	1	99	182	4
397	"babecky, j"	-0.6339	0.5042	1	53	142	2
399	"babus, a"	0.6749	0.2767	5	311	1160	28
401	"babus, ana"	0.7565	0.2841	3	136	251	5
407	"backus, d"	-0.2044	0.6914	6	118	179	3
411	"bae, kh"	-0.8327	-0.0784	1	359	832	23
413	"baele, l"	-0.8549	-0.0359	1	213	390	11
416	"bagehot, w"	0.1555	0.5031	3	147	226	6
421	"bai, j"	-0.6136	-0.2312	1	188	311	10
426	"baig, t"	-1.0234	-0.0205	1	118	161	5
435	"baker, m"	0.2013	-0.2067	2	79	289	11
439	"bakshi, g"	-0.5526	0.3104	8	64	104	3
451	"bali, tg"	-0.6679	-0.0025	1	88	231	7
460	"balli, f"	-0.8556	-0.1197	1	78	108	4
463	"baltensperger, e"	0.6925	0.7193	3	75	168	3
473	"banerjee, t"	1.1174	-0.7593	7	86	226	6
477	bank for international settlements	0.182	0.1243	3	363	1035	30
478	bank for international settlements (bis)	0.0128	0.0561	5	118	174	5
480	"bank of, england"	0.467	0.6869	6	271	942	21
490	"barabasi, al"	0.8781	-0.2041	2	400	1421	35
491	"baral, p"	1.0171	-0.5332	2	130	260	7
498	"barberis, n"	0.264	-0.0173	2	113	213	7
503	"bardoscia, m"	1.1101	-0.5652	2	356	2105	46
504	"bargigli, l"	1.0377	-0	5	359	1546	27
505	"barigozzi, m"	-0.1372	-0.6657	1	173	334	10
507	"barlevy, g"	-0.3091	0.153	1	101	156	4
518	"barone-adesi, g"	-0.6186	0.6194	4	45	122	2
521	"barrat, a"	0.5406	-0.3199	2	242	501	11
530	"bartelsman, e"	0.5125	0.5311	5	80	140	3
531	"barth, j"	-0.6716	0.1716	1	79	109	5
532	"barth, jr"	-0.7021	0.3732	1	135	452	14
538	"bartolini, l"	0.736	0.7637	3	51	132	2
542	"bartram, sm"	-0.7512	0.1006	1	317	844	19
543	"barucca, p"	1.4011	-0.5162	2	204	749	15
551	basel committee on banking supervision	0.0865	-0.0127	7	461	1808	48
553	basel committee on banking supervision (basel)	0.8096	-0.5062	7	100	174	4
554	basel committee on banking supervision (bcbs)	-0.3061	-0.108	8	212	623	14
555	basel committee on banking supervision (bcbs) & financial stability board (fsb)	0.5785	-0.3896	3	97	140	4
576	"batiz-zuk, e"	0.985	-0.5753	2	135	233	6
579	"battistini, n"	-0.6926	-0.1846	1	89	132	4
